"ds","id","query","product_title","product_description","median_relevance","relevance_variance"
"499",1586,"coffee for nespresso"," black bonus capsules compatible espresso italian machine mixpresso nespresso plus"," 100 automatic bar best brew brewing can cappuccino capsule choice compatible cup designs espresso frother high home ideal italian latte lovers m1log20 machine make milk mixpresso model modern nespresso offering option place pump quality size stylish system three two ultimate warranty way work year",2,0.471
"500",1588,"laptop lenovo"," 155 250gb 4096mb computer core dvdrw i5253ghz laptop lenovo professional refurbished t510 windows"," 1280 132 1394 155 155inch 250gb 253ghz 4096mb 64bit 6cell 800 adapter audio backlight battery buttons card card54 cardbus combo comes contents core ddr3 deep definition dimensions display drive dvdrw esatausb ethernet express gigabit graphics hard high i5253ghz i5520m ieee iii inches integrated intel ion lan laptop led lenovo lithium memory microphone microsoft model modem mute networking notebook operating optical package partition port ports pounds processor professional recovery resolutions rj11 rj45 screen size slot slots support system t410 t510 thinkpad type usb vga volume weight wide wifi windows wxga yes",4,0
"501",1593,"wall clocks"," clock decoration diy home mirror modern office room sticker surface wall","",4,0.471
"502",1604,"thomas the train"," engine fisherprice motorized new spencer thomas trackmaster train","",3,0.748
"503",1610,"micro usb to hdmi"," 33ft adapter cable galaxy hdmi i9300 i9500 iii insten mhl micro n9000 note samsung usb","",4,0
"504",1613,"steel necklace"," blackplated cross crucible mens necklace stainless steel"," chain cross curb hearty highlighted inlaid latin layered look maltese masculine paired pairs pendant piece polished prongset refined softer stainless steel traditional yet",4,0.471
"505",1614,"punch bowls"," bowl clear maryland plastics punch quart"," beverages bowl breads catered clear disposable elegance even event finger foods guests next occasion party perfect plastic punch quality salad serve serving special",4,0
"506",1617,"mens leather shirt"," blk dnm lambskin leather mens tshirt"," bisecting center crewneck final fine lambskin leather offer seams sharp sleek style supple tailored touch tshirt ultraluxe unlike",3,0.471
"507",1618,"bluetooth speaker"," alloy black bluetooth housing jukee minisuit portable speaker steel"," 35mm adorns amazing attending augment away bass battery bbq big bluetooth bring builtin cable cant charge colors compact compatible controls courtside cute design designed desktop dont durable ear entertaining event exquisite fit full galaxy gift going guests gym holiday holidays impressive included indicator innovative input ipad iphone ipod jack juice just laptops led light line microsoft minisuits minutes nexus nokia perfect phones pocketsize portable rechargeable road samsung season size small smart sony sound speaker sport summer super switch tablets throwing tiny touch trip want whether working",4,0.433
"508",1622,"assassinss creed"," assassins costume creed ezio hoodie"," ahead also always assassin assassins auditore bits body bottom bring can chest church cold cool costume cotton covered creed cuffs details dry embroidered embroidery expansive ezio ezios face fashion features flat gets hood hoodie imported italian italy justice keep lace laced latest law lay length like loaded logo low machine make man meets move needs now officiallylicensed peace pointed pointy polyester pretty pull put red renaissance result seam share shoulder sizing sleeve slip socalled stay style super sure table top towers true tumble ubisoft warm wash white will zipper",3,0.748
"509",1632,"dresses for women"," dressmerona maternity one rosette shoulder"," 1shoulder assorted asymmetrical available baby bump cluster colors coverage doublestitched dress durable easy edgy elastic fasteners feminine flattering flows full give gives hookandloop just knee lining look machine make maternity merona neckline offers opaque reaches rosettes seams shoulder side sizes skirt sleeveless standard touch waistband wash zipper",3,0.943
"510",1637,"barbie"," charm hardcover princess school"," edition lion macbook mountain paperback",3,1.166
"511",1638,"cargo shorts"," american belted cargo plaid rag shorts"," allover american back belt button cargo closure clutch cool cotton design dring featuring fit fly front goto imported included loops machine mens months new offseam plaid pockets rag relaxed removable short shorts side two warmweather washable will zip",4,0
"512",1639,"single serve coffee maker"," 2pack coffee cups ekobrew makers refillable serve single"," anyone asleep brew call can cleaned coffee come cup cups cupsthats day designed dont easily ekobrew even every fell felt finally get half handy house kcup keep keurig like love machine machines makeryou manage miracle morning much one perfect person piece refillable singleserve still thats use used using waste without youll youre",3,0.894
"513",1642,"stick vacuum"," 5in1 black red thane vacuum"," 111volt bagless battery chandeliers clean cleaning cleans collectibles converts cup designed dry dust duster easyemptying effective ergonomically extensions features filter fine fragile frames helps high innovative leaving lifter lightweight liquid liquids longlife low motor much objects pack particles picture porcelain rechargeable reusable spot squeegee streaks strong sucks system televisions tool trifiltration unique use vac vacuum various washable wet window without",4,0
"514",1643,"levis"," bootcut jeans levi pull shaping signature strauss totally womens"," beautiful boot combine comfort construction cut day denim fit flawless high innovative jeans levi love new pullon shape shaping signature strauss stretch totally",3,0.632
"515",1648,"samsonite"," 6tier closet organizer samsonite swivel"," 3tier closet closets construction convenient function hanging highlights life make messy organizer organizers organizing polyester shorter simplify sixtier solution split stay swivel top",4,0.943
"516",1649,"laptop lenovo"," 116 11e 20ed lenovo thinkpad"," 116 11e 20ed 500 64bit a46210 downgrade hdd lenovo pro ram series thinkpad windows",4,0.471
"517",1650,"macbook case 13 case"," 2015 air bumper case inch laptop macbook thule vectros"," 360 aesthetics air beautiful beveled bumped bumper case closure degree device dropped drops easy edges engineered enhanced even exception fastened fit grip innovative installation keeps knows macbook meter offer optional protect protection protective provide retaining ridges rugged scratch secure securely shields shockabsorbing shut snap snapon still thule ultimate vectros want",3,0.748
"518",1656,"adidas pants"," adidas blackwhite boys grade pants school team tiro training"," 100 adidas away bottom climacool easy fabric feeling fresh imported keep leg moisture pants pocket polyester secure storage training use wick zip zips",4,0.471
"519",1659,"mens dress shirts"," canali dress fit mens regular shirt","",4,0.49
"520",1660,"legos"," 31028 creator lego plane sea"," re 3in1 aerial aircraft apply black boat can catamaran color cool creator detailing done engine features flying high huge landing landings large lego lights maneuvers navigation ocean orange perform plane pontoons power powerful propeller rebuild scheme sea skim sky soar speed spin superfast surface swamp thunder tinted water waves white windshield",4,0
"521",1673,"legos"," alarm clock kids lego minifigure moveable ninjago zane"," activate alarm another backlight blue clock cool created digital displayed fantastic features head iconic lcd lego light movable moves ninjago parts screen series tied time zane",3,0
"522",1678,"coffee for nespresso"," coffee espresso machine nespresso vertuoline"," 1085 1191 1193 400 832 automatic battery capacity coffee cup dimensions drip features includes instruction manual material metal pack plastic product removable reservoir shutoff tea tray used variety volume water weight",2,0.943
"523",1680,"wii"," console nintendo ntsc white wii","",4,0.471
"524",1685,"bird seed feeder"," feeder flipper green yankee"," 475 accessible accessing also antimicrobial bacteria bird cap capacity color comes damaging deters dimensions easily features feeder feeding fights fits flipper four green growth heavy inches lifting long materials mechanism metal microban mildew mold one outdoor perch polycarbonate ports pounds prevent quantity reach ring seed setting snugly squirrels technology tube unique via weight wide",4,0
"525",1690,"nike shoes"," bluedark free greylime nike shoes training womens","",4,0.471
"526",1691,"full tang knife"," full k10521bk killer knife tang zombie"," 075 440 814 ballistic black cord custom duty featuresfull finishhandle full green heavy inblade k10521bk killer knife knifeoverall lbs length material neon nylon nylonitem sharpblade stainless steel tang weight wrappedsheath zombie",4,0
"527",1693,"wall clocks"," clock lorell profile round wall"," clock lorell profile quartz round wall",4,0
"528",1695,"over the knee snow boots"," assorted belle01 boots bumper colors heel low overtheknee","",3,0.632
"529",1699,"wireless mouse"," 24ghz cordless dpi laptop mice mouse optical receiver usb wireless","",4,0
"530",1700,"dresses for women"," bell black blue dress dresses folk greige magic midnight sleeve women","",4,0.471
"531",1701,"san francisco 49ers"," 49ers francisco juniors logo neck nfl san scoop sequins shirt"," 49ers contoured cut favorite features figure francisco juniors lets logo nfl san scoopneck sequins show support team tshirt",4,0.471
"532",1703,"laptop lenovo"," battery black computers ibm laptop lbix200 lenmar lenovo","",2,0.943
"533",1710,"steel necklace"," hands necklace prayer serenity stainless steel"," accept can change courage difference engraved front gift god grant hands inside inspirational know loved meaningful necklace notebook one prayer praying serenity significant things wisdom",4,0.471
"534",1711,"werewolf costume"," adult mask osfm scary werewolf","",3,0.748
"535",1712,"mens dress shirts"," brio buttonup dress mens milano purple shirt stripe white"," brio buttonup daily dress fashionable leisure mens milano nines perfect purple shirt stripe style top white work",4,0
"536",1714,"16 gb memory card"," 16gb adapter card class flash memory microsd microsdhc new sandisk sdhc"," 16gb also ample card devices drive equipped furthermore games images internal irrespective limitless makes memory micro music optimize phone reader ringtones sandisk sdsdq016 size space truly usb videos",4,0
"537",1715,"silver jeans"," 16inch center flower necklace preciosa silver sterling","",1,1.299
"538",1716,"high chairs"," baby balboa chair cover flower high retro"," also baby balboa can chair comfy coming contact cover designed easy germfree high keep knowing parents provide provides quilted rest seat soft space",2,1.02
"539",1717,"blender"," 60oz blender diamond ice kitchenaid raspberry vortex"," 165in 60oz angled base benefits blade blades blending bpafree business capability care cast clean cleaning cleanup control coupler create creates crush crushing days design diamond die direct directly dishwasher easily easy efficient exceptional feature features food function height ice increases intellispeed item led lights lock maintains metal motor one optimal origin panel patented piece pitcher place power powerful provides pull quickly results robust safe scratch selected setting shaped shatter shipped slower soft speed speeds stainless stainresistant start starts steel steelreinforced sturdy together transfer typically unique usa vortex white wipes within work yes",4,0.471
"540",1718,"kitchenaid mixer"," digital hand kitchenaid mixer speed white","",4,0
"541",1719,"khaki pants"," comfort flatfront mens pants series solution wrangler"," also back blend button buttonfront closure comfort comfortable cotton durable elastic feature flatfront front made mens pants pockets series slash solution two waistband well weltflap wrangler",2,0.943
"542",1723,"shotgun shell pouch"," black blackhawk gen4 molle pouch shell shotgun strike system","",4,0
"543",1724,"bluesky gel nail polish"," 400 colorstay enamel envy gel longwear nail revlon"," base brilliant coat color colorstay dbpfree diamond envy formaldehyde formula gel liferesistant plus quality salon shine steps toluene top use wear",2,0.632
"544",1728,"levis 505"," 505 clothing customized jeans levis lisa marie vintage","",4,0.943
"545",1729,"rain jacket"," jacket kelty mens rain weather xlarge"," activities backpacking bold features great green hue jacket kelty lightweight outdoor rain stylish weather well windproof wonderful",4,0
"546",1731,"micro usb to hdmi"," adapter audiovideo black converter digital female hdmi male mhl micro startechcom type usb"," 1080p 2year active adapter added always audio backed benefit channel charging compact connect connected content convenience deliver device digital display enabled enables free hdmi hdtv hdtvs highdefinition large lifetime link mhd2hdf mhl mhlenabled mhl micro mobile monitor monitors nonmhlenabled offers output photos plugandplay port projector projectors quality ready resolution side simple simultaneously smartphone solution startechcom support supporting supports tablet technical usb use using video viewing warranty",4,0.471
"547",1737,"metal lathe"," amk hand magnet powermag release"," 312 812 amk014 areas cleaning cylinder diameter drill equipment etc ferrous floors get great hard height lathes lbs lifting lifts machines materials metal milling nonferrous parts power presses reaches separates shavings sku small tables",1,0.943
"548",1741,"phillips coffee maker"," 7810 black coffee hd7810 maker philips pod senseo","",4,0
"549",1742,"road bicycle"," bike mens prelude road schwinn"," 1819 agile alloy aluminum bike durability frame included items lightweight material number prelude quick riding rims road size strong",4,0
"550",1745,"cargo shorts"," big cargo lrg shorts striped tall","",4,0
"551",1748,"silver jeans"," bootcut craig jeans relaxed silver"," bootcut jeans offduty relaxedbutkickin silver status style",4,0
"552",1753,"notebook paper"," 200page collegeruled hardcover notebook notepro"," 100percent 11529478 200 30percent allows archivable binding black collegeruled colored cover customize date doublesided durable efficiency excellent fibers flat hard inches includes increased index item lay material measure microperforated minimum notebook notebooks notepro notetaking open organization pages pocket postconsumer provides recycled selfsticking space spine stability storage tabslabels twin wire writing",2,0.943
"553",1755,"road bicycle"," bell bike electro road"," 100 222mm available bell bike bikes black can color convenience dimensions electro fit fits great handlebars high inches less long look loud materials mounted mounting option plastic road safety sizes suitable tool tools universal want wide without",2,0
"554",1760,"samsung galaxy phone case"," candyshell case cell galaxy greypink phone samsung speck spka2690"," access allows candyshell case cell controls corners cushioned dents design features flexible galaxy grey interior keep keeping lightweight outer phone pink place ports protected protects safe samsung scratches shell snug snugly speck will",4,0
"555",1761,"beats headphones"," assorted beats colors headphones overear studio"," 20hour adaptive battery beats canceling comfortable completely energy excitement expect famous headphone lighter new noise plus powerful precision rechargeable redesigned reengineered reimagined remotetalk sexier sound stronger studio worlds",4,0
"556",1762,"samsung galaxy phone case"," case galaxy grapetropical hard hybrid insten mini phone premium samsung stand teal tuff","",4,0
"557",1763,"outdoor table cover"," accessories chair classic cover diameter fits large patio round set table terrazzo"," air also around available bottom chair cold condensation conditions cord cover crack dirt durable elastic enough extreme fabric features fit fitted furniture heavyduty inside lofting machine neutral offer outdoor patio prevent protect rain round sand secure set shade snow sun table terrazzo vents washable will wind",4,0
"558",1764,"white dress"," dress mark printed skater sleeveless white womens"," adds adventures approximate back casual center chic closure color dance day details dinner dress elastic especially evening fit flare flared flirty fuchsia fun hem inches length lightly lining little mark measurement mint missy moves neckline night options pullover scoop size skirt sleeveless sleeves small style sundress taken top totally typelength unlined waist walk white womens yellow",2,0.471
"559",1765,"brett favre ny titans jersey blue"," bed blue columbus coverage inc jackets jersey nhl polyester skirt sports","",1,0.98
"560",1774,"coffee for nespresso"," capsules coffee holder nespresso pod rack rotates stand storage","",2,0.471
"561",1776,"storage ottoman"," bonded cream cube dartmouth four leather ottoman sectioned storage"," ve tv 17x17 35x35 actually allow allows also appeal appear atmosphere away battle beautiful beautifully bonded brown carefully close come comes comfortable crafted create creating cushions dartmouth decorated desserts dine dining easytomatch enjoy especially espresso ever family favorite finally flip four front giving glasses gorgeous great hard high hold husband indescribable individual just lapthis large leather lift like likely living long mahogany meals mess now offers one ottoman padded perfect placing plus previously quality really rest room seen shade shine simply solution square stunning stylethis table tacky take television though top tray trays trays undesirable unsightly upholstered visual way without wooden worked worrying",4,0
"562",1782,"plantronics corded headset"," amplifier cable headset plantronics u10p"," coiled connects cord headset jack modular plug quickdisconnect standard telephone",2,0
"563",1785,"phillips coffee maker"," coffee definitive km740d50 krups maker series stainless steel"," 2year beautiful best blend bold can coffee comes cup cups daily exactly feature home hot hub joe keep km740d50 maker meet model pot preps program stainless start steel stylish time trust want warm warranty",4,0.471
"564",1786,"phillips coffee maker"," coffee cup filter reusable single solofill"," 100 arrived beans blend bpa builtin calling can clean coffee connoisseurs cup distributes dont durability easy enjoy ensure entire environmental even evenly every favorite fill filter free gives gourmet grounds head hot impact innovative just kcup kcups like make maker makes mesh micro money morning octaflowplus perfect perfection permanent pop reduce rely reusable rinses save seconds simply single singlecup sink solofill solution spray stainless stay steel steeped system throughout water",1,0.433
"565",1787,"k cups"," 108 brewing coffee donut kcup keurig people shop systems"," 108 allamerican boxes brewers can case classic coffee days donut fullbodied good kcups keurig original pack per remember shop sweet total used",4,0.471
"566",1795,"brett favre ny titans jersey blue"," arizona diamondbacks hand ultimate","",1,0.943
"567",1798,"wii"," bros nintendo smash super wii"," 45 95 98 one potentially super 100 achievements action addition adventure available battery battle best better blow bros can characters classic condition destructoid developernintendo digital entry everyone examiner experiences familiar fans fantastic favorite fighting finest franchise friends game gamer games gamesbeat genre get gift giving happens heading httpventurebeatcom20141119supersmashbrosforwiiuisanintendomasterpieceyoullplayforyearsreview httpwwwdestructoidcomreviewsupersmashbrosforwiiu283523phtml httpwwwexaminercomreviewsupersmashbrosforwiiureviewanembarrassmentofriches httpwwwigncomarticles20141119supersmashbrosforwiiureview httpwwwusgamernetarticlessupersmashbroswiiureviewnowwitnessitstrueform ign inspiration iteration keeps link looking loves mario market matter might mind multiplayer new nintendo nintendos nothing one packed paradise pikachu platform play players playing praise publisher ready samus series smash super systems takes territory together turns used version video wage war warriors wii will yet",2,0
"568",1803,"electric blanket"," blanket blue channeled electric fullqueen heated lagoon plush sunbeam velvet"," 100 1015 allow also americas autoadjusts available beautiful bills blanket blankets blue bsv9lfqr59642a66 care channel channeled comfort comfortable consistent control controller controls costs cut dryer dual easy easytooperate edges electric elegance elements energy exactly extra fabric features find finish full fullqueen fully heat heated heating hemmed hours includes indulge keep king lagoon level levels limited luxurious machine made makes manufacturers monitors multisetting night pattern percent personalized plush polyester prepare presents queen relax restful rich right safe save setting settings simple single size sizes sleeping smart smooth soft softness soothing sophistication split still stylish sunbeam surface system temperature thermofine thermostat throughout touch turn turning twin ultrasoft use velvet velvety warming warmth warranty washable way well wrap year",4,0.943
"569",1805,"candle chandelier"," 6light bronze chandelier collection gold lumenno silver vienna wash"," 6light accents add bronze chandelier collection complement complete crystal decors features finish gold interest look many silver teardrop traditional vienna wash will",3,0.471
"570",1818,"galaxy note 3"," cable data etdq10y0we galaxy insten n9000 note oem samsung usb"," cable cell charge data etdq10y0we galaxy high n9000 note oem phone samsung speed usb white",2,0.632
"571",1821,"lc lauren conrad dresses"," britton conrad crepe crown dress grey lauren length medium paper size tea womens"," crepe delicate design dress finished flowy furthers hem midilength movement straps suspended twotiered winsome",2,1.02
"572",1826,"bike lock"," cable combination lock mwave spiral"," also attach bicyclist bike busy cable combination construction easily elements frame great items keep lock locked loops mwave outdoor perfect possessions powerful rack securely securing sign spiral stands street sturdy wheels",4,0.8
"573",1832,"vanity fair bras"," fair paperback reissue vanity"," 1847 affair affairs ambitions amelia amelias among antiheroic basis becky beckys bleak boarding book bring case chapter child chronicles classic comic corruption crawley critics daughter decrying deliberately different dissolute distinctly dogged embark endured english entitled eventually experiencing fair fall family fiction fluctuating fortune fortunes great hero heroine heroinesone high history humanity humble husband killed landmark lead left levels life live lives london loose love managing misunderstood morals naive napoleonic native nothing novel novels odious one orphan pampered panoramic penniless published pursuit rawdon realism reissue resources rise saga satirical schemingmeet school schoolmate sedley set sharp shrewdness society solely status study subtitle thackerays things time two typically understating vanity vast vicious victorian view vile war wars waterloo wealth wealthy whose wit without women world",1,0.49
"574",1835,"coffee for nespresso"," citiz espresso machine nespresso titan"," 109 146 16capsule 340 able add aeroccino also aromas assembly auto backlit battery beverage blends buttons c111ustine1 capacity cappuccinos capsules cinch citiz coffee compact counter create crema cup cupsize delicious design details dimensions easyfill electric enjoy espresso extraction favorite features fits flavorful flavors frother get highpressure ideal included includes inspiration lattes led luscious machine maker material milk modern nepresso nespresso new nods pack patented plastic plus pods pot power powerful practical practically preheats preserves product required reservoir retro safety savor seconds security separate shutoff silhouette simple single sleek slim smooth space steamer straightforward subtle system thick tops urban used variety volume wand want water weight whenever will wonder yet youll",2,0.894
"575",1839,"car jump starter"," 300 amp honor jump ltd starter trading wagan"," 12ah 2467 260psi 300a 300amp 6gauge air battery battery booster cables clamps compressor compressor extralong flow heavyduty highpower inflates jump jumpertm leadacid min min peak port power powerful quick rechargeable starter tech tires usb wagan",4,0.943
"576",1840,"pressure cooker"," 8quart cooker pressure presto stainless steel"," 8quart base become black busy can chicken choice cleaning comes contents cooker cooking cookware crafted design dishes distribution easy equipped ergonomic essential even everyday excellent exterior familys faster favorite features fish food fully gift handles heat heats heavyduty holding housewarming ideal indicator item lid look maintain make many meals meat microwave nutrients offers option overpressure plastic plug polished prepare pressure presto quality quick reach registry regular release reliable stainless staycool steam steel stronglock temperature three times triclad use vegetable vented wedding week will",4,0.471
"577",1843,"skechers womens shoes"," scholls shoe walking wide width wiley womens"," built comfort inside item scholls technology",1,0.943
"578",1845,"k cups"," chocolate cocoa count hot kcups keurig milk miss swiss"," beverage brewing buds care chocolate chocolaty cocoa contains count cup dairy delicious exacting hot kcup kcups keurig made measured milk miss mix nonfat perfect premium real specifications spirit sure swiss system taste use warm",4,0
"579",1851,"cuisinart coffee maker"," 10cup black classic coffeemaker cuisinart dcc1150bk programmable thermal","",4,0
"580",1855,"playstation vita system"," delivery email playstation psp sony"," access addons allow allowing available cash characters choose codes connect devices dlc download downloading exclusive expand experiences favorite fill friends gamers games gaming great greatest instantly latest level maps millions missions movies multiplayer music network new next online play playing playstation ps3 psn purchase rent shows songs start stream take titles tons videos vita wallet well",2,0.943
"581",1856,"blue mini fridge"," 33cu bundle haier microwave rca refrigerator value"," 1000watts 2liter 33cu accommodate added black bottles bundle college collegebound comes convenience cooking crisper decker dispenseacan enjoy enough features gift households housewarming ideal levels microwave power rca refrigerator room roommate set storage students system value",1,0.471
"582",1868,"hat rack"," coat contemporary rack stainless steel"," adding base blackfinished bold coat contemporary features frame knobs make marble organization perfect rack space stainless statement steel sturdy stylish sure trendy wavy wooden",4,0.8
"583",1869,"bike lock"," armored ballistic bell bike lock"," 101 assembly attaches battery care clean cleaning details features handlebars material required steel used weight wipe wire",4,0
"584",1870,"toaster oven"," 6slice convection frigidaire infrared oven professional stainless steel toaster"," 6position 6slice adjusted appliance bake box bread bright can clean comes convection cook cooking cooks crumb different display displays easily easy efficiently evenly faster fingertips fit fits food frigidaire heats help inch infrared interior just lcd less makes making matter meal need nonstick options oven pan pizza powerplus preheat preset professional proselect provides quickly rack rapid read ready removed right save six slices small spend stainless steel technology time toast toaster tray use waiting whole will",4,0
"585",1872,"glass marbles"," 6079 bronze glass kichler light marble olde olympia sconce sunset wall","",2,0.632
"586",1874,"dc shoes black"," blackgreyyellow boys pure shoes"," abrasionresistant ages allows also bottom canvas collar comfortable construction dcs design either eyelets features foampadded heavyduty kids lace leather lightweight locks mesh metal multitone outsole pattern pill pure resilient rubber soft sole sticky tongue trademarked upper vulcanized walking",3,0.894
"587",1876,"road bicycle"," 54cm 700c aluminum bicycle bike racing roadcommuter shimano speed white","",4,0
"588",1877,"baseball cleats"," bag pudge wheels wilson"," abrasionresistant accessories airlines bag bat bats bottom checked comfortgrip compartment equipment extra features handle holds housings large loading luggage main major meets neoprene organizing padded panel pockets pudge reinforced requirements separate side size sleeve unigrip unloading valuables wear wheels wideset wilson",1,0
"589",1878,"werewolf costume"," 00465 boy california child costume costumes medium werewolf white"," attached boy character child costume fur includes mask shirt sizemedium werewolf white",4,0
"590",1881,"ice cream maker"," 4qt cream ice maker pbwmime412 rival"," 12000 4qt action bound bucket commercial cream dasher electric galvanized grade hoops ice maker manufactured motion motor patented pbwmime412 pine quart rpm select size4 strong system triple universal wood",3,0.894
"591",1883,"sports bra"," black bra cami glamorise nobounce sport womens"," active breathable bust busted cami comfort containment control cool coverage cups design dry exceptional fabric features full fuller honduras impact keeps made medium mesh moisture open provide provides reinforced running seeking special support upper wicking wirefree women workouts",4,0.471
"592",1889,"lego star wars"," 75051 fighter jedi lego scout star wars"," action animated armory assorted astro awesome behind cannon chronicles clone cockpit containers copilot dark detach droid dual elevating escape fighter gets guard handle hatch holocrons hot includes including ithorian jedi jek14 lego life lift lightsabers master mech minifigures opens place plus pod positioned protect protocol ra7 rear recreate rotating scenes scout shooters side speials springloaded star stash streamlined thrilling trooper turn two unleash vital wars ways weapons yoda",3,0.748
"593",1890,"chocolate molds"," baking button cake chocolate mold pans shaped silicone"," bake buttons cakes can chocolate cubes easy etc fuss ice jelly making manuever mess mold pan shape silicone treats used versatile",4,0
"594",1891,"rice cooker"," 10cup black cooker drc1000b elite maximatic platinum rice stainless"," 10cup adds benefits calories can cook cooked cooker cups decision delicious dish easier eat enjoy every fast fat fiber filling food high kitchen life low make maximatic meal nutrients overall perfect quick reduced rice side something stainless steel time two using works",4,0
"595",1894,"electric blanket"," biddeford blanket electric microplush"," re adding bedding beyond biddeford blanket comfort control controllers couch cozy cuddle dream electric frosty giving goes going heated indigo irresistibly layers material microplush nights personalized separate snuggle step toasty transform two ultimate ultrasoft want whether winter",3,1.095
"596",1895,"hello kitty"," backpack cute hello kitty nwt","",3,0.748
"597",1896,"waffle maker"," clean maker sandwich tfal waffle"," addition alerts allowing become builtin cheese clean customizing delicious dishwasher easy fantastic grilled heated included indicator interchangeable kitchen light machine make maker makes making muchused nonstick one plates pocket ready remove safe sandwich sandwiches sandwichwaffle sets simple sure tfal tool two waffle waffles wonderful",4,0
"598",1897,"wine rack"," 18bottle rack shelves tower wine"," 18bottle accessories added addition almost ample area assembled bar bottles can classic classically constructed convenience conveniently decor decorative design dining display drawer drawers durability easily elegant enables enjoyed excellent features fit glasses hanging home housing individual items kitchen large lets open piece placing plates provide provides quickly rack room shelves simple solid storage store strength style styles top tower two variety way well wine wood work yet",4,0
"599",1898,"dresses for women"," cocktail dress evanese jersey womens"," boasts casual clothing cocktail day dress empire enhance features inset jersey nighttime personal style versatile waist womens works",4,0
"600",1904,"batman"," batman hurricane ride"," activity adjustable along assembly authentic backrest batman brand brothers building can child color comfortable comics control coordination curves custom design dimensions driver driving durable easytouse encouraging endurance equipped ergonomic even experience features gives graphics great handbrake high incheck inches innovative kart kept lets long manufacturer materials model molded pedal physical plastic position pounds power required ride rubber safe seat sitting speed sporty steel strength t90530 warner warranty weight wide year",2,0.632
"601",1906,"silver necklace"," chain italian necklace roc silver sterling twisted"," adding attached chain clasp claw create design effects ideal italian lobster necklace pendants personality roc rugged silver sterling twisted",4,1.265
"602",1910,"wall clocks"," clock lorell mahogany wall"," clock lorell quartz wall",4,0
"603",1912,"neck pillow"," dodgers mlb multicolor neck pillow"," ll 100 adorned another around beads blue comfort companion dodgers dream exterior fabric fill firm fits flexible lets logo love mlb multicolor name neck perfect perfectly pillow polystyrene red shape skin sleep smooth soft spandex total travel travels white win yet",4,0
"604",1913,"nike shoes"," nike running shoes trail wild womens","",4,0
"605",1916,"robe"," bath cotton robe supima"," bath bathrobe bed book cold comfortable cotton cover cozy days favorite give ideal lounging read relaxing robe sofa step supima television warm watch will",4,0
"606",1918,"business badge holder"," 50box badge clear clip holder horizontal punched vinyl"," 091141754563 75456 badge box cards chain clear clip details holder holders horizontal made number pack per punched security sold stock sturdy upc use vinyl",4,0
"607",1927,"acoustic guitar clamp"," acousticelectricclassic black capo change clamp guitar key quick trigger","",4,1.414
"608",1928,"cocoa butter"," butter cocoa cream formula marks massage palmers stretch"," acetate acid alcohol also appearance aqua bentonite body butter cacao caramel cera cetyl cocoa collagen contains cream designed diazolidinyl dimethicone disodium edta elastin extract formula fragrance glycerin glyceryl glycol help helps hydrolyzed ideal ingredients isopropyl lanolate lanolin limonene linalool liquidum lotion marks massage methylparaben microcristallina microcrystalline mineral nourishing oil palmers palmitate paraffinum parfum peg100 pregnant prevent propylene propylparaben reduce seed shea skin soluble stearate stearic stearyl stretch theobroma tocopheryl treat urea vitamin water wax women",2,1.02
"609",1936,"skeleton poster"," 20x29 bending giclee paper poster print skeleton unframed"," 0587118717 1543 20x29 anatomy andreas art belgium canvas canvases country duty exception fine framed giclee hang heavy illustrator isbn medical orientation origin paper portrait poster print ready ship size stretchers themes type unframed unstretched vertical vesalius wall wood year",4,0.471
"610",1937,"silver ring"," diamond miracle promise prong ring round set silver sterling"," 005 015 022 avoid band carat care clean cleaners cleaning cloth description diamond dry household item jewelry professionally promise prong rings round set setting silver sterling stone style total type weight white width wipe",2,0.471
"611",1939,"memory foam mattress topper"," dual mattress topper white"," attached bed bedskirt body brings combined comfortable downlike exceptional features feel fiberfill foam keeps layer mattress memory memoryfoam needs nights pillowtop place plush pressurepoint relief restful result securely sleep stretchtofit support suretemp surface therapeutic topped topper twoinch",4,0.8
"612",1943,"ray ban sunglasses"," 11217 3025 55mm ban blue gold mirror ray sunglasses"," 135 ban blue brand bridge color condition crystal eye frame gender gold green imported lens made matte mirror multilayer new product ray size temple unisex",4,0.8
"613",1944,"drawer organizer"," diamond martin mobile taboret"," additional ample artist can convenient crafter diamond drawer drawers economical features firm frame home lightweight loaded martin materials melamine metal mobile six sized solutions space storage store sturdy supplies taboret top ultimate use yet",2,1.02
"614",1945,"vans backpack"," backpack str<U+0095><U+00C0><U+0095><U+00C0>van thule tsbp115"," 500d accessories accommodate allow also backing backpack bottles bumper calculator capacitypersonal commuter compartment compresses compression comprised construction contemporary dedicated easy expands flexible fobbase front gearpadded gussets ipadrsafeedge itemspleated jacket key lines locating macbook matdurable mesh multiple nylon opening organization packing panel phone plus pocketremovable pockets proof pror protectioncrush protects provides safezone scientific secure side smaller storage storagesuitcase straps style sunglasses superior technology tpe variety versatile water waterresistant ykk yoga zipperstwo",3,1.166
"615",1951,"car window sticker"," mlb pirates pittsburgh"," back bumpers car decal decals diameter including licensed logo made measures mlb official officially perfect pirates pittsburgh selfadhesive surfaces team usa variety vinyl wincraft windows",3,1.356
"616",1954,"neck pillow"," foam italian memory pillow ventilated"," airflow chambers comfort contouring cooler cradling features foam head increase italian italy manufactured memory milan neck offers pillow relaxing sleep superior unique ventilated ventilation vertical",2,0.471
